================ Training Loss (Fri Mar 23 20:20:06 2018) ================
(epoch: 2, iters: 30, time: 2.691, data: 0.069) D_A: 0.269 G_A: 0.748 Cyc_A: 2.165 D_B: 0.245 G_B: 0.599 Cyc_B: 2.151 idt_A: 1.055 idt_B: 0.886 
(epoch: 3, iters: 60, time: 2.478, data: 0.002) D_A: 0.207 G_A: 0.670 Cyc_A: 3.134 D_B: 0.192 G_B: 1.038 Cyc_B: 1.584 idt_A: 0.699 idt_B: 1.339 
(epoch: 5, iters: 20, time: 2.446, data: 0.005) D_A: 0.168 G_A: 0.892 Cyc_A: 2.611 D_B: 0.253 G_B: 0.887 Cyc_B: 1.767 idt_A: 0.671 idt_B: 1.333 
(epoch: 6, iters: 50, time: 2.464, data: 0.002) D_A: 0.174 G_A: 0.776 Cyc_A: 1.455 D_B: 0.266 G_B: 0.902 Cyc_B: 1.571 idt_A: 0.624 idt_B: 0.681 
(epoch: 8, iters: 10, time: 2.455, data: 0.004) D_A: 0.237 G_A: 0.694 Cyc_A: 1.628 D_B: 0.180 G_B: 0.864 Cyc_B: 1.837 idt_A: 0.770 idt_B: 0.840 
(epoch: 9, iters: 40, time: 2.459, data: 0.002) D_A: 0.104 G_A: 1.032 Cyc_A: 2.086 D_B: 0.183 G_B: 0.759 Cyc_B: 2.571 idt_A: 1.274 idt_B: 0.835 
(epoch: 10, iters: 70, time: 2.443, data: 0.002) D_A: 0.151 G_A: 1.032 Cyc_A: 2.000 D_B: 0.222 G_B: 0.772 Cyc_B: 2.604 idt_A: 1.193 idt_B: 1.035 
(epoch: 12, iters: 30, time: 2.516, data: 0.064) D_A: 0.155 G_A: 0.917 Cyc_A: 1.189 D_B: 0.100 G_B: 1.003 Cyc_B: 1.435 idt_A: 0.655 idt_B: 0.580 
(epoch: 13, iters: 60, time: 2.469, data: 0.002) D_A: 0.098 G_A: 0.962 Cyc_A: 1.631 D_B: 0.123 G_B: 1.004 Cyc_B: 1.676 idt_A: 1.042 idt_B: 0.864 
(epoch: 15, iters: 20, time: 2.454, data: 0.006) D_A: 0.149 G_A: 1.031 Cyc_A: 2.527 D_B: 0.132 G_B: 1.002 Cyc_B: 1.526 idt_A: 0.638 idt_B: 1.326 
(epoch: 16, iters: 50, time: 2.443, data: 0.002) D_A: 0.104 G_A: 0.987 Cyc_A: 2.320 D_B: 0.104 G_B: 0.915 Cyc_B: 1.950 idt_A: 0.761 idt_B: 1.049 
(epoch: 18, iters: 10, time: 2.477, data: 0.002) D_A: 0.049 G_A: 0.906 Cyc_A: 2.206 D_B: 0.076 G_B: 1.000 Cyc_B: 1.579 idt_A: 0.667 idt_B: 1.314 
(epoch: 19, iters: 40, time: 2.487, data: 0.003) D_A: 0.083 G_A: 0.856 Cyc_A: 1.449 D_B: 0.074 G_B: 0.998 Cyc_B: 2.115 idt_A: 0.735 idt_B: 0.537 
(epoch: 20, iters: 70, time: 2.485, data: 0.003) D_A: 0.328 G_A: 0.815 Cyc_A: 1.269 D_B: 0.061 G_B: 1.048 Cyc_B: 1.477 idt_A: 0.634 idt_B: 0.540 
(epoch: 22, iters: 30, time: 2.447, data: 0.062) D_A: 0.046 G_A: 0.933 Cyc_A: 1.258 D_B: 0.048 G_B: 0.952 Cyc_B: 1.297 idt_A: 0.542 idt_B: 0.571 
(epoch: 23, iters: 60, time: 2.497, data: 0.002) D_A: 0.033 G_A: 1.021 Cyc_A: 2.925 D_B: 0.048 G_B: 0.948 Cyc_B: 1.863 idt_A: 0.714 idt_B: 1.422 
(epoch: 25, iters: 20, time: 2.484, data: 0.006) D_A: 0.046 G_A: 0.972 Cyc_A: 1.425 D_B: 0.031 G_B: 0.987 Cyc_B: 2.345 idt_A: 0.838 idt_B: 0.556 
(epoch: 26, iters: 50, time: 2.486, data: 0.003) D_A: 0.048 G_A: 0.992 Cyc_A: 0.904 D_B: 0.059 G_B: 1.014 Cyc_B: 1.757 idt_A: 0.856 idt_B: 0.399 
(epoch: 28, iters: 10, time: 2.522, data: 0.002) D_A: 0.046 G_A: 1.013 Cyc_A: 1.569 D_B: 0.037 G_B: 1.000 Cyc_B: 1.654 idt_A: 0.836 idt_B: 0.672 
(epoch: 29, iters: 40, time: 2.476, data: 0.002) D_A: 0.052 G_A: 0.917 Cyc_A: 1.126 D_B: 0.066 G_B: 0.976 Cyc_B: 1.051 idt_A: 0.500 idt_B: 0.463 
(epoch: 30, iters: 70, time: 2.503, data: 0.002) D_A: 0.046 G_A: 0.949 Cyc_A: 2.895 D_B: 0.045 G_B: 1.084 Cyc_B: 1.488 idt_A: 0.587 idt_B: 0.407 
(epoch: 32, iters: 30, time: 2.502, data: 0.066) D_A: 0.029 G_A: 0.973 Cyc_A: 1.371 D_B: 0.039 G_B: 0.997 Cyc_B: 1.164 idt_A: 0.493 idt_B: 0.599 
(epoch: 33, iters: 60, time: 2.479, data: 0.002) D_A: 0.041 G_A: 1.089 Cyc_A: 1.074 D_B: 0.056 G_B: 0.989 Cyc_B: 1.086 idt_A: 0.494 idt_B: 0.590 
(epoch: 35, iters: 20, time: 2.507, data: 0.002) D_A: 0.048 G_A: 1.018 Cyc_A: 0.991 D_B: 0.036 G_B: 0.994 Cyc_B: 1.804 idt_A: 0.758 idt_B: 0.639 
(epoch: 36, iters: 50, time: 2.556, data: 0.004) D_A: 0.038 G_A: 0.972 Cyc_A: 1.575 D_B: 0.044 G_B: 1.031 Cyc_B: 1.256 idt_A: 0.618 idt_B: 1.109 
(epoch: 38, iters: 10, time: 2.477, data: 0.003) D_A: 0.041 G_A: 1.047 Cyc_A: 1.198 D_B: 0.042 G_B: 0.962 Cyc_B: 1.473 idt_A: 0.604 idt_B: 0.540 
(epoch: 39, iters: 40, time: 2.454, data: 0.002) D_A: 0.043 G_A: 0.973 Cyc_A: 2.058 D_B: 0.038 G_B: 0.867 Cyc_B: 1.756 idt_A: 0.834 idt_B: 1.009 
(epoch: 40, iters: 70, time: 2.485, data: 0.006) D_A: 0.035 G_A: 1.016 Cyc_A: 1.370 D_B: 0.045 G_B: 1.033 Cyc_B: 1.312 idt_A: 0.661 idt_B: 0.573 
(epoch: 42, iters: 30, time: 2.509, data: 0.070) D_A: 0.040 G_A: 1.028 Cyc_A: 0.770 D_B: 0.034 G_B: 0.996 Cyc_B: 1.491 idt_A: 0.808 idt_B: 0.379 
(epoch: 43, iters: 60, time: 2.568, data: 0.002) D_A: 0.034 G_A: 1.009 Cyc_A: 1.423 D_B: 0.027 G_B: 0.991 Cyc_B: 1.628 idt_A: 0.664 idt_B: 0.740 
(epoch: 45, iters: 20, time: 2.466, data: 0.002) D_A: 0.056 G_A: 1.001 Cyc_A: 1.299 D_B: 0.040 G_B: 0.976 Cyc_B: 1.713 idt_A: 0.609 idt_B: 0.576 
(epoch: 46, iters: 50, time: 2.544, data: 0.002) D_A: 0.052 G_A: 0.924 Cyc_A: 1.357 D_B: 0.031 G_B: 0.982 Cyc_B: 0.817 idt_A: 0.369 idt_B: 0.675 
(epoch: 48, iters: 10, time: 2.525, data: 0.002) D_A: 0.029 G_A: 0.851 Cyc_A: 1.681 D_B: 0.030 G_B: 0.962 Cyc_B: 1.289 idt_A: 0.556 idt_B: 0.890 
(epoch: 49, iters: 40, time: 2.525, data: 0.002) D_A: 0.038 G_A: 0.989 Cyc_A: 1.352 D_B: 0.035 G_B: 0.972 Cyc_B: 0.821 idt_A: 0.343 idt_B: 0.703 
(epoch: 50, iters: 70, time: 2.522, data: 0.002) D_A: 0.028 G_A: 1.005 Cyc_A: 1.098 D_B: 0.024 G_B: 0.967 Cyc_B: 1.255 idt_A: 0.585 idt_B: 0.420 
(epoch: 52, iters: 30, time: 2.583, data: 0.065) D_A: 0.026 G_A: 0.974 Cyc_A: 1.555 D_B: 0.024 G_B: 1.001 Cyc_B: 1.977 idt_A: 0.768 idt_B: 0.517 
(epoch: 53, iters: 60, time: 2.503, data: 0.002) D_A: 0.041 G_A: 0.953 Cyc_A: 1.277 D_B: 0.035 G_B: 1.034 Cyc_B: 1.204 idt_A: 0.528 idt_B: 0.511 
(epoch: 55, iters: 20, time: 2.519, data: 0.002) D_A: 0.050 G_A: 0.983 Cyc_A: 1.512 D_B: 0.042 G_B: 0.966 Cyc_B: 1.226 idt_A: 0.524 idt_B: 0.735 
(epoch: 56, iters: 50, time: 2.623, data: 0.003) D_A: 0.029 G_A: 1.017 Cyc_A: 1.694 D_B: 0.027 G_B: 1.000 Cyc_B: 1.075 idt_A: 0.458 idt_B: 0.598 
(epoch: 58, iters: 10, time: 2.528, data: 0.004) D_A: 0.031 G_A: 0.979 Cyc_A: 1.139 D_B: 0.032 G_B: 1.030 Cyc_B: 1.515 idt_A: 0.594 idt_B: 0.512 
(epoch: 59, iters: 40, time: 2.587, data: 0.002) D_A: 0.463 G_A: 0.889 Cyc_A: 0.797 D_B: 0.029 G_B: 1.029 Cyc_B: 0.881 idt_A: 0.396 idt_B: 0.364 
(epoch: 60, iters: 70, time: 2.511, data: 0.003) D_A: 0.040 G_A: 1.013 Cyc_A: 0.814 D_B: 0.036 G_B: 1.029 Cyc_B: 1.615 idt_A: 0.685 idt_B: 0.352 
(epoch: 62, iters: 30, time: 2.532, data: 0.060) D_A: 0.031 G_A: 1.014 Cyc_A: 1.038 D_B: 0.029 G_B: 1.004 Cyc_B: 1.529 idt_A: 0.530 idt_B: 0.390 
(epoch: 63, iters: 60, time: 2.632, data: 0.002) D_A: 0.049 G_A: 0.979 Cyc_A: 1.505 D_B: 0.024 G_B: 0.978 Cyc_B: 1.259 idt_A: 0.625 idt_B: 0.818 
(epoch: 65, iters: 20, time: 2.661, data: 0.002) D_A: 0.034 G_A: 0.989 Cyc_A: 1.137 D_B: 0.033 G_B: 1.018 Cyc_B: 1.116 idt_A: 0.501 idt_B: 0.480 
(epoch: 66, iters: 50, time: 2.542, data: 0.005) D_A: 0.043 G_A: 0.981 Cyc_A: 1.176 D_B: 0.029 G_B: 1.024 Cyc_B: 0.922 idt_A: 0.423 idt_B: 0.554 
(epoch: 68, iters: 10, time: 2.573, data: 0.002) D_A: 0.024 G_A: 1.028 Cyc_A: 0.935 D_B: 0.038 G_B: 1.048 Cyc_B: 1.237 idt_A: 0.493 idt_B: 0.400 
(epoch: 69, iters: 40, time: 2.609, data: 0.002) D_A: 0.026 G_A: 0.997 Cyc_A: 1.326 D_B: 0.026 G_B: 0.989 Cyc_B: 1.666 idt_A: 0.655 idt_B: 0.625 
(epoch: 70, iters: 70, time: 2.597, data: 0.002) D_A: 0.034 G_A: 0.980 Cyc_A: 1.681 D_B: 0.027 G_B: 1.004 Cyc_B: 1.129 idt_A: 0.483 idt_B: 0.860 
(epoch: 72, iters: 30, time: 2.585, data: 0.060) D_A: 0.028 G_A: 0.947 Cyc_A: 0.705 D_B: 0.023 G_B: 1.014 Cyc_B: 0.974 idt_A: 0.433 idt_B: 0.269 
(epoch: 73, iters: 60, time: 2.631, data: 0.002) D_A: 0.029 G_A: 1.007 Cyc_A: 0.859 D_B: 0.027 G_B: 1.015 Cyc_B: 0.743 idt_A: 0.299 idt_B: 0.391 
(epoch: 75, iters: 20, time: 2.555, data: 0.002) D_A: 0.037 G_A: 0.918 Cyc_A: 1.712 D_B: 0.027 G_B: 1.026 Cyc_B: 0.979 idt_A: 0.410 idt_B: 0.785 
